iter	Passed	Remaining
0	0	321
1	1	302
2	1	298
3	2	286
4	2	279
5	3	276
6	3	274
7	4	273
8	4	271
9	5	271
10	6	268
11	6	264
12	7	265
13	7	265
14	8	263
15	8	262
16	9	261
17	9	260
18	10	259
19	10	257
20	11	255
21	11	255
22	12	254
23	12	254
24	13	257
25	14	257
26	14	255
27	15	255
28	15	254
29	16	253
30	16	252
31	17	251
32	17	251
33	18	250
34	18	249
35	19	248
36	19	247
37	20	247
38	20	247
39	21	246
40	21	245
41	22	244
42	23	244
43	23	244
44	24	243
45	24	243
46	25	242
47	25	242
48	26	241
49	26	241
50	27	240
51	27	239
52	28	239
53	28	238
54	29	238
55	29	237
56	30	236
57	30	235
58	31	234
59	32	235
60	32	234
61	33	234
62	33	233
63	34	232
64	34	231
65	35	231
66	35	230
67	36	229
68	36	229
69	37	228
70	37	227
71	38	227
72	38	226
73	39	226
74	40	226
75	40	226
76	41	226
77	41	225
78	42	225
79	42	224
80	43	223
81	43	222
82	44	222
83	44	221
84	45	221
85	45	220
86	46	220
87	46	219
88	47	218
89	47	218
90	48	217
91	49	217
92	49	216
93	50	216
94	50	215
95	51	215
96	51	214
97	52	214
98	52	213
99	53	212
100	53	212
101	54	212
102	54	211
103	55	211
104	55	210
105	56	210
106	57	209
107	57	208
108	58	208
109	58	208
110	59	207
111	59	206
112	60	206
113	60	205
114	61	205
115	61	204
116	62	203
117	62	203
118	63	202
119	63	202
120	64	201
121	64	201
122	65	200
123	66	200
124	66	199
125	67	199
126	67	198
127	68	197
128	68	197
129	69	197
130	69	196
131	70	195
132	70	195
133	71	195
134	72	195
135	72	194
136	73	194
137	73	193
138	74	192
139	74	192
140	75	192
141	76	192
142	76	191
143	77	191
144	77	190
145	78	190
146	79	189
147	79	189
148	80	188
149	80	188
150	81	187
151	81	187
152	82	186
153	82	186
154	83	185
155	83	184
156	84	184
157	84	183
158	85	183
159	85	182
160	86	182
161	87	181
162	87	181
163	88	180
164	88	179
165	89	179
166	90	180
167	91	180
168	91	179
169	92	178
170	92	178
171	93	177
172	93	177
173	94	176
174	94	176
175	95	175
176	95	174
177	96	174
178	96	173
179	97	173
180	97	172
181	98	172
182	99	171
183	99	171
184	100	170
185	100	170
186	101	169
187	101	168
188	102	168
189	102	167
190	103	167
191	103	166
192	104	166
193	105	165
194	105	165
195	106	164
196	106	164
197	107	163
198	107	163
199	108	162
200	108	161
201	109	161
202	109	160
203	110	160
204	110	159
205	111	159
206	112	158
207	112	157
208	113	157
209	113	156
210	114	156
211	114	155
212	115	155
213	115	154
214	116	154
215	116	153
216	117	152
217	117	152
218	118	151
219	118	151
220	119	150
221	119	150
222	120	149
223	121	149
224	121	148
225	122	148
226	122	147
227	123	147
228	123	146
229	124	146
230	125	145
231	125	145
232	126	144
233	126	143
234	127	143
235	127	142
236	128	142
237	128	141
238	129	141
239	129	140
240	130	139
241	130	139
242	131	138
243	131	138
244	132	137
245	132	137
246	133	136
247	133	136
248	134	135
249	134	134
250	135	134
251	135	133
252	136	133
253	136	132
254	137	132
255	137	131
256	138	130
257	139	130
258	139	129
259	140	129
260	140	128
261	141	128
262	141	127
263	142	127
264	142	126
265	143	126
266	143	125
267	144	124
268	144	124
269	145	123
270	145	123
271	146	122
272	146	122
273	147	121
274	148	121
275	148	120
276	149	120
277	149	119
278	150	118
279	150	118
280	151	117
281	151	117
282	152	116
283	152	116
284	153	115
285	153	115
286	154	114
287	154	114
288	155	113
289	155	112
290	156	112
291	157	111
292	157	111
293	158	110
294	158	110
295	159	109
296	159	109
297	160	108
298	160	108
299	161	107
300	161	107
301	162	106
302	162	105
303	163	105
304	163	104
305	164	104
306	165	103
307	165	103
308	166	102
309	166	102
310	167	101
311	167	101
312	168	100
313	168	99
314	169	99
315	169	98
316	170	98
317	170	97
318	171	97
319	172	96
320	172	96
321	173	95
322	173	95
323	174	94
324	174	94
325	175	93
326	175	93
327	176	92
328	176	91
329	177	91
330	177	90
331	178	90
332	178	89
333	179	89
334	180	88
335	180	88
336	181	87
337	181	87
338	182	86
339	182	86
340	183	85
341	183	84
